      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2056,    27,    2.007,    2.406,    2.921,    3.278,    3.516,    3.025,    3.083,    2.717,    3.516,    3.270,    2.870,    2.406,    2.921,    3.184,    2.795,    3.126,    2.627,    2.846,    3.278,    2.007
  2066,    27,    2.640,    2.945,    3.497,    4.022,    4.214,    3.591,    3.774,    3.446,    4.214,    3.959,    3.497,    2.945,    3.458,    3.847,    3.329,    3.899,    3.292,    3.489,    4.022,    2.640
  2076,    27,    3.360,    3.418,    4.244,    4.772,    4.893,    4.244,    4.446,    4.252,    4.893,    4.678,    4.192,    3.418,    3.908,    4.504,    3.899,    4.700,    4.074,    4.238,    4.772,    3.360
  2086,    27,    3.857,    4.122,    5.050,    5.495,    5.551,    4.967,    5.093,    5.050,    5.551,    5.425,    4.874,    3.857,    4.274,    5.124,    4.452,    5.495,    4.932,    5.068,    5.444,    4.122
  1996,    28,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    28,    0.146,    0.192,    0.255,    0.302,    0.313,    0.255,    0.285,    0.196,    0.302,    0.279,    0.290,    0.237,    0.261,    0.226,    0.219,    0.274,    0.192,    0.313,    0.243,    0.146
  2016,    28,    0.343,    0.485,    0.643,    0.735,    0.757,    0.660,    0.677,    0.512,    0.735,    0.715,    0.727,    0.563,    0.636,    0.558,    0.560,    0.695,    0.485,    0.757,    0.643,    0.343
  2026,    28,    0.610,    0.907,    1.190,    1.300,    1.335,    1.226,    1.190,    0.947,    1.335,    1.292,    1.288,    0.973,    1.152,    1.069,    1.058,    1.239,    0.907,    1.300,    1.196,    0.610
  2036,    28,    0.837,    1.270,    1.569,    1.744,    1.864,    1.693,    1.558,    1.317,    1.864,    1.744,    1.651,    1.270,    1.542,    1.569,    1.489,    1.652,    1.291,    1.658,    1.713,    0.837
  2046,    28,    1.158,    1.659,    2.023,    2.276,    2.480,    2.178,    2.023,    1.725,    2.480,    2.249,    2.008,    1.659,    1.984,    2.185,    1.943,    2.129,    1.725,    2.031,    2.276,    1.158
  2056,    28,    1.614,    2.114,    2.473,    2.957,    3.150,    2.668,    2.583,    2.240,    3.150,    2.823,    2.459,    2.114,    2.455,    2.829,    2.408,    2.735,    2.224,    2.473,    2.957,    1.614
  2066,    28,    2.211,    2.567,    3.026,    3.665,    3.799,    3.191,    3.200,    2.856,    3.799,    3.468,    3.026,    2.567,    2.923,    3.446,    2.891,    3.458,    2.802,    3.004,    3.665,    2.211
  2076,    28,    2.894,    2.974,    3.661,    4.382,    4.439,    3.764,    3.820,    3.551,    4.439,    4.146,    3.661,    2.974,    3.333,    4.047,    3.404,    4.179,    3.510,    3.656,    4.382,    2.894
  2086,    28,    3.366,    3.617,    4.402,    5.010,    5.063,    4.402,    4.424,    4.250,    5.063,    4.860,    4.264,    3.366,    3.664,    4.624,    3.910,    4.864,    4.310,    4.417,    5.010,    3.617
  1996,    29,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    29,    0.165,    0.222,    0.281,    0.328,    0.339,    0.281,    0.307,    0.237,    0.328,    0.303,    0.320,    0.243,    0.293,    0.259,    0.242,    0.313,    0.222,    0.339,    0.275,    0.165
  2016,    29,    0.389,    0.556,    0.712,    0.802,    0.820,    0.725,    0.726,    0.615,    0.802,    0.783,    0.797,    0.575,    0.711,    0.627,    0.626,    0.792,    0.556,    0.820,    0.712,    0.389
  2026,    29,    0.696,    0.993,    1.287,    1.414,    1.458,    1.337,    1.287,    1.130,    1.458,    1.413,    1.414,    0.993,    1.281,    1.183,    1.174,    1.391,    1.027,    1.411,    1.303,    0.696
  2036,    29,    0.959,    1.314,    1.710,    1.910,    2.024,    1.833,    1.701,    1.548,    2.024,    1.910,    1.813,    1.314,    1.707,    1.710,    1.643,    1.824,    1.434,    1.804,    1.830,    0.959
  2046,    29,    1.315,    1.749,    2.214,    2.453,    2.674,    2.334,    2.220,    2.001,    2.674,    2.453,    2.214,    1.749,    2.191,    2.357,    2.120,    2.305,    1.902,    2.209,    2.407,    1.315
  2056,    29,    1.796,    2.269,    2.705,    3.114,    3.369,    2.840,    2.824,    2.558,    3.369,    3.069,    2.705,    2.269,    2.705,    3.043,    2.614,    2.924,    2.450,    2.690,    3.114,    1.796
  2066,    29,    2.406,    2.780,    3.307,    3.856,    4.040,    3.381,    3.469,    3.230,    4.040,    3.752,    3.307,    2.780,    3.210,    3.698,    3.127,    3.672,    3.091,    3.264,    3.856,    2.406
  2076,    29,    3.106,    3.230,    3.985,    4.612,    4.697,    3.993,    4.110,    3.985,    4.697,    4.468,    3.978,    3.230,    3.646,    4.347,    3.670,    4.430,    3.848,    3.966,    4.612,    3.106
  2086,    29,    3.658,    3.851,    4.733,    5.279,    5.337,    4.681,    4.733,    4.744,    5.337,    5.220,    4.624,    3.658,    3.998,    4.970,    4.203,    5.168,    4.675,    4.776,    5.279,    3.851
  1996,    30,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    30,    0.195,    0.233,    0.297,    0.339,    0.366,    0.287,    0.324,    0.244,    0.339,    0.321,    0.333,    0.250,    0.319,    0.273,    0.264,    0.336,    0.233,    0.366,    0.297,    0.195
  2016,    30,    0.464,    0.593,    0.765,    0.851,    0.884,    0.747,    0.773,    0.623,    0.822,    0.817,    0.835,    0.602,    0.769,    0.665,    0.680,    0.851,    0.593,    0.884,    0.765,    0.464
  2026,    30,    0.822,    1.047,    1.375,    1.510,    1.514,    1.389,    1.370,    1.152,    1.487,    1.472,    1.491,    1.047,    1.375,    1.251,    1.265,    1.510,    1.101,    1.514,    1.396,    0.822
  2036,    30,    1.111,    1.396,    1.824,    1.989,    2.064,    1.927,    1.813,    1.587,    2.064,    1.989,    1.923,    1.396,    1.824,    1.805,    1.751,    1.989,    1.545,    1.923,    1.951,    1.111
  2046,    30,    1.486,    1.853,    2.359,    2.573,    2.747,    2.469,    2.373,    2.085,    2.747,    2.573,    2.357,    1.853,    2.346,    2.484,    2.241,    2.518,    2.035,    2.359,    2.559,    1.486
  2056,    30,    1.992,    2.405,    2.908,    3.298,    3.491,    3.020,    3.021,    2.702,    3.491,    3.234,    2.874,    2.405,    2.908,    3.211,    2.754,    3.173,    2.601,    2.894,    3.298,    1.992
  2066,    30,    2.642,    2.962,    3.543,    4.075,    4.207,    3.603,    3.714,    3.445,    4.207,    3.951,    3.512,    2.962,    3.465,    3.906,    3.302,    3.965,    3.267,    3.543,    4.075,    2.642
  2076,    30,    3.395,    3.468,    4.274,    4.865,    4.905,    4.268,    4.388,    4.274,    4.905,    4.704,    4.225,    3.468,    3.946,    4.598,    3.899,    4.765,    4.067,    4.309,    4.865,    3.395
  2086,    30,    3.948,    4.199,    5.039,    5.570,    5.584,    5.012,    5.039,    5.098,    5.584,    5.497,    4.917,    3.948,    4.340,    5.258,    4.492,    5.542,    4.952,    5.170,    5.570,    4.199
  1996,    31,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    31,    0.111,    0.193,    0.236,    0.268,    0.292,    0.258,    0.261,    0.194,    0.292,    0.256,    0.265,    0.229,    0.236,    0.216,    0.202,    0.247,    0.193,    0.268,    0.209,    0.111
  2016,    31,    0.262,    0.474,    0.577,    0.657,    0.710,    0.643,    0.623,    0.506,    0.710,    0.650,    0.657,    0.540,    0.577,    0.530,    0.517,    0.638,    0.474,    0.657,    0.554,    0.262
  2026,    31,    0.478,    0.876,    1.048,    1.178,    1.287,    1.178,    1.089,    0.919,    1.287,    1.167,    1.161,    0.929,    1.048,    1.003,    0.983,    1.144,    0.876,    1.141,    1.040,    0.478
  2036,    31,    0.686,    1.196,    1.456,    1.596,    1.788,    1.596,    1.419,    1.259,    1.788,    1.563,    1.488,    1.196,    1.405,    1.456,    1.391,    1.541,    1.223,    1.481,    1.514,    0.686
  2046,    31,    0.994,    1.541,    1.829,    2.054,    2.364,    2.044,    1.831,    1.626,    2.364,    2.025,    1.818,    1.541,    1.808,    2.021,    1.827,    1.991,    1.622,    1.829,    2.054,    0.994
  2056,    31,    1.424,    1.932,    2.265,    2.713,    3.001,    2.491,    2.343,    2.098,    3.001,    2.571,    2.235,    1.932,    2.240,    2.617,    2.265,    2.567,    2.083,    2.228,    2.713,    1.424
  2066,    31,    1.992,    2.319,    2.751,    3.400,    3.622,    2.980,    2.910,    2.661,    3.622,    3.209,    2.751,    2.319,    2.681,    3.194,    2.704,    3.250,    2.626,    2.709,    3.400,    1.992
  2076,    31,    2.643,    2.668,    3.324,    4.087,    4.254,    3.517,    3.490,    3.296,    4.254,    3.866,    3.324,    2.668,    3.083,    3.746,    3.151,    3.936,    3.304,    3.316,    4.087,    2.643
  2086,    31,    3.018,    3.343,    4.055,    4.693,    4.871,    4.126,    4.055,    3.939,    4.871,    4.535,    3.859,    3.018,    3.424,    4.282,    3.583,    4.590,    4.074,    4.053,    4.693,    3.343
  1996,    32,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    32,    0.146,    0.217,    0.270,    0.318,    0.318,    0.286,    0.296,    0.237,    0.318,    0.295,    0.303,    0.240,    0.270,    0.253,    0.221,    0.299,    0.217,    0.318,    0.263,    0.146
  2016,    32,    0.347,    0.537,    0.680,    0.776,    0.779,    0.728,    0.702,    0.615,    0.779,    0.767,    0.760,    0.568,    0.664,    0.617,    0.579,    0.763,    0.537,    0.776,    0.680,    0.347
  2026,    32,    0.629,    0.981,    1.245,    1.388,    1.423,    1.334,    1.246,    1.123,    1.423,    1.388,    1.354,    0.981,    1.207,    1.167,    1.106,    1.339,    0.994,    1.344,    1.245,    0.629
  2036,    32,    0.882,    1.290,    1.688,    1.875,    1.983,    1.811,    1.656,    1.528,    1.983,    1.875,    1.748,    1.290,    1.625,    1.688,    1.576,    1.762,    1.392,    1.736,    1.752,    0.882
  2046,    32,    1.229,    1.712,    2.143,    2.404,    2.624,    2.295,    2.167,    1.960,    2.624,    2.404,    2.143,    1.712,    2.095,    2.323,    2.058,    2.227,    1.859,    2.139,    2.312,    1.229
  2056,    32,    1.698,    2.211,    2.626,    3.005,    3.308,    2.780,    2.757,    2.494,    3.308,    2.999,    2.626,    2.211,    2.590,    2.991,    2.547,    2.831,    2.401,    2.609,    3.005,    1.698
  2066,    32,    2.293,    2.703,    3.213,    3.736,    3.974,    3.307,    3.377,    3.144,    3.974,    3.669,    3.213,    2.703,    3.078,    3.629,    3.047,    3.556,    3.027,    3.162,    3.736,    2.293
  2076,    32,    2.975,    3.130,    3.878,    4.480,    4.628,    3.903,    3.991,    3.878,    4.628,    4.366,    3.864,    3.130,    3.503,    4.261,    3.572,    4.299,    3.762,    3.843,    4.480,    2.975
  2086,    32,    3.539,    3.703,    4.588,    5.136,    5.263,    4.581,    4.588,    4.622,    5.263,    5.101,    4.485,    3.539,    3.851,    4.871,    4.084,    5.029,    4.564,    4.633,    5.136,    3.703
  1996,    33,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    33,    0.186,    0.226,    0.289,    0.332,    0.354,    0.281,    0.313,    0.237,    0.332,    0.309,    0.329,    0.240,    0.310,    0.266,    0.260,    0.332,    0.226,    0.354,    0.289,    0.186
  2016,    33,    0.441,    0.573,    0.745,    0.837,    0.855,    0.732,    0.747,    0.611,    0.809,    0.794,    0.821,    0.573,    0.748,    0.647,    0.669,    0.837,    0.576,    0.855,    0.745,    0.441
  2026,    33,    0.784,    0.995,    1.341,    1.468,    1.473,    1.361,    1.327,    1.132,    1.468,    1.434,    1.464,    0.995,    1.341,    1.218,    1.243,    1.473,    1.066,    1.466,    1.363,    0.784
  2036,    33,    1.064,    1.326,    1.780,    1.943,    2.043,    1.887,    1.761,    1.562,    2.043,    1.943,    1.883,    1.326,    1.780,    1.760,    1.720,    1.927,    1.494,    1.862,    1.908,    1.064
  2046,    33,    1.432,    1.772,    2.303,    2.512,    2.714,    2.413,    2.303,    2.042,    2.714,    2.512,    2.307,    1.772,    2.289,    2.427,    2.199,    2.433,    1.972,    2.280,    2.506,    1.432
  2056,    33,    1.929,    2.311,    2.834,    3.235,    3.439,    2.946,    2.929,    2.633,    3.439,    3.156,    2.812,    2.311,    2.834,    3.138,    2.702,    3.077,    2.532,    2.789,    3.235,    1.929
  2066,    33,    2.564,    2.851,    3.434,    4.002,    4.134,    3.515,    3.598,    3.344,    4.134,    3.857,    3.434,    2.851,    3.372,    3.814,    3.233,    3.857,    3.192,    3.407,    4.002,    2.564
  2076,    33,    3.293,    3.335,    4.151,    4.780,    4.812,    4.166,    4.260,    4.141,    4.812,    4.592,    4.126,    3.335,    3.830,    4.484,    3.806,    4.645,    3.977,    4.151,    4.780,    3.293
  2086,    33,    3.799,    4.069,    4.906,    5.470,    5.472,    4.892,    4.906,    4.938,    5.470,    5.363,    4.797,    3.799,    4.198,    5.123,    4.370,    5.408,    4.837,    4.993,    5.472,    4.069
  1996,    34,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    34,    0.132,    0.202,    0.256,    0.304,    0.307,    0.283,    0.288,    0.225,    0.307,    0.291,    0.292,    0.241,    0.256,    0.240,    0.202,    0.279,    0.216,    0.304,    0.242,    0.132
  2016,    34,    0.313,    0.529,    0.634,    0.750,    0.751,    0.718,    0.680,    0.591,    0.750,    0.751,    0.732,    0.573,    0.632,    0.587,    0.536,    0.720,    0.529,    0.743,    0.634,    0.313
  2026,    34,    0.568,    0.974,    1.169,    1.354,    1.368,    1.314,    1.202,    1.076,    1.368,    1.354,    1.304,    0.984,    1.153,    1.115,    1.037,    1.269,    0.974,    1.283,    1.169,    0.568
  2036,    34,    0.803,    1.279,    1.619,    1.814,    1.914,    1.778,    1.591,    1.461,    1.914,    1.814,    1.677,    1.279,    1.553,    1.619,    1.494,    1.680,    1.350,    1.656,    1.659,    0.803
  2046,    34,    1.132,    1.679,    2.050,    2.321,    2.547,    2.251,    2.084,    1.857,    2.547,    2.321,    2.050,    1.679,    1.998,    2.236,    1.964,    2.123,    1.794,    2.040,    2.201,    1.132
  2056,    34,    1.578,    2.147,    2.505,    2.896,    3.230,    2.715,    2.660,    2.353,    3.230,    2.896,    2.505,    2.147,    2.463,    2.877,    2.433,    2.700,    2.315,    2.483,    2.871,    1.578
  2066,    34,    2.148,    2.611,    3.061,    3.573,    3.888,    3.219,    3.263,    2.958,    3.888,    3.550,    3.061,    2.611,    2.923,    3.483,    2.902,    3.394,    2.918,    3.003,    3.573,    2.148
  2076,    34,    2.801,    3.006,    3.677,    4.284,    4.537,    3.782,    3.859,    3.645,    4.537,    4.213,    3.677,    3.006,    3.319,    4.078,    3.389,    4.119,    3.636,    3.643,    4.284,    2.801
  2086,    34,    3.387,    3.499,    4.418,    4.911,    5.163,    4.426,    4.439,    4.341,    5.163,    4.894,    4.260,    3.387,    3.645,    4.651,    3.864,    4.837,    4.418,    4.397,    4.911,    3.499
  1996,    35,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    35,    0.110,    0.192,    0.250,    0.290,    0.290,    0.281,    0.278,    0.231,    0.290,    0.290,    0.271,    0.250,    0.240,    0.231,    0.192,    0.253,    0.197,    0.283,    0.225,    0.110
  2016,    35,    0.260,    0.480,    0.605,    0.717,    0.742,    0.717,    0.656,    0.602,    0.715,    0.742,    0.684,    0.605,    0.596,    0.564,    0.515,    0.657,    0.480,    0.693,    0.592,    0.260
  2026,    35,    0.477,    0.885,    1.095,    1.314,    1.329,    1.312,    1.164,    1.087,    1.314,    1.329,    1.224,    1.049,    1.089,    1.080,    1.007,    1.155,    0.885,    1.203,    1.095,    0.477
  2036,    35,    0.689,    1.223,    1.546,    1.765,    1.852,    1.765,    1.546,    1.457,    1.852,    1.762,    1.584,    1.354,    1.466,    1.575,    1.462,    1.531,    1.223,    1.554,    1.555,    0.689
  2046,    35,    1.000,    1.628,    1.924,    2.234,    2.463,    2.207,    2.030,    1.823,    2.463,    2.234,    1.935,    1.728,    1.883,    2.171,    1.924,    1.920,    1.628,    1.913,    2.069,    1.000
  2056,    35,    1.418,    2.117,    2.370,    2.769,    3.118,    2.622,    2.590,    2.278,    3.118,    2.766,    2.357,    2.138,    2.316,    2.769,    2.370,    2.436,    2.117,    2.310,    2.696,    1.418
  2066,    35,    1.943,    2.529,    2.870,    3.370,    3.741,    3.077,    3.168,    2.828,    3.741,    3.370,    2.870,    2.529,    2.741,    3.319,    2.800,    3.067,    2.702,    2.770,    3.349,    1.943
  2076,    35,    2.528,    2.853,    3.444,    3.999,    4.367,    3.587,    3.739,    3.444,    4.367,    3.967,    3.436,    2.853,    3.100,    3.849,    3.237,    3.763,    3.405,    3.327,    3.999,    2.528
  2086,    35,    3.149,    3.165,    4.167,    4.570,    4.971,    4.180,    4.291,    4.057,    4.971,    4.559,    3.964,    3.165,    3.389,    4.364,    3.654,    4.477,    4.167,    3.992,    4.570,    3.149
  1996,    36,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    36,    0.116,    0.185,    0.239,    0.281,    0.288,    0.261,    0.270,    0.200,    0.288,    0.272,    0.268,    0.224,    0.239,    0.212,    0.192,    0.252,    0.185,    0.281,    0.219,    0.116
  2016,    36,    0.270,    0.456,    0.586,    0.692,    0.700,    0.667,    0.636,    0.528,    0.700,    0.692,    0.670,    0.532,    0.586,    0.521,    0.502,    0.652,    0.456,    0.684,    0.580,    0.270
  2026,    36,    0.484,    0.844,    1.080,    1.240,    1.277,    1.227,    1.117,    0.957,    1.277,    1.240,    1.191,    0.913,    1.063,    1.001,    0.967,    1.152,    0.844,    1.177,    1.080,    0.484
  2036,    36,    0.681,    1.178,    1.472,    1.666,    1.792,    1.666,    1.468,    1.299,    1.792,    1.650,    1.528,    1.178,    1.424,    1.472,    1.385,    1.532,    1.178,    1.506,    1.547,    0.681
  2046,    36,    0.975,    1.532,    1.863,    2.111,    2.391,    2.109,    1.916,    1.645,    2.391,    2.111,    1.863,    1.532,    1.824,    2.046,    1.824,    1.943,    1.571,    1.841,    2.064,    0.975
  2056,    36,    1.393,    1.938,    2.278,    2.696,    3.040,    2.534,    2.456,    2.090,    3.040,    2.638,    2.278,    1.938,    2.245,    2.635,    2.259,    2.482,    2.040,    2.227,    2.696,    1.393
  2066,    36,    1.936,    2.335,    2.792,    3.355,    3.657,    2.996,    3.032,    2.630,    3.657,    3.241,    2.792,    2.335,    2.662,    3.182,    2.690,    3.132,    2.595,    2.692,    3.355,    1.936
  2076,    36,    2.553,    2.666,    3.364,    4.022,    4.268,    3.504,    3.610,    3.244,    4.268,    3.849,    3.364,    2.666,    3.020,    3.712,    3.121,    3.819,    3.272,    3.270,    4.022,    2.553
  2086,    36,    2.981,    3.207,    4.018,    4.611,    4.858,    4.086,    4.170,    3.861,    4.858,    4.466,    3.900,    2.981,    3.309,    4.225,    3.531,    4.495,    4.018,    3.964,    4.611,    3.207
  1996,    37,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    37,    0.168,    0.199,    0.268,    0.313,    0.332,    0.268,    0.290,    0.211,    0.313,    0.293,    0.311,    0.243,    0.270,    0.247,    0.226,    0.293,    0.199,    0.332,    0.254,    0.168
  2016,    37,    0.401,    0.507,    0.677,    0.783,    0.802,    0.690,    0.693,    0.547,    0.755,    0.748,    0.783,    0.590,    0.664,    0.612,    0.575,    0.750,    0.507,    0.802,    0.677,    0.401
  2026,    37,    0.714,    0.959,    1.221,    1.375,    1.391,    1.277,    1.221,    1.014,    1.362,    1.348,    1.391,    1.026,    1.199,    1.162,    1.091,    1.350,    0.959,    1.375,    1.264,    0.714
  2036,    37,    0.974,    1.356,    1.692,    1.820,    1.895,    1.762,    1.609,    1.417,    1.895,    1.820,    1.782,    1.356,    1.608,    1.692,    1.542,    1.806,    1.380,    1.758,    1.819,    0.974
  2046,    37,    1.321,    1.774,    2.161,    2.421,    2.538,    2.275,    2.104,    1.880,    2.538,    2.361,    2.161,    1.774,    2.073,    2.338,    2.026,    2.328,    1.852,    2.167,    2.421,    1.321
  2056,    37,    1.806,    2.282,    2.661,    3.139,    3.250,    2.813,    2.702,    2.467,    3.250,    2.980,    2.638,    2.282,    2.590,    3.025,    2.523,    2.971,    2.383,    2.661,    3.139,    1.806
  2066,    37,    2.446,    2.803,    3.248,    3.882,    3.947,    3.386,    3.360,    3.157,    3.947,    3.670,    3.246,    2.803,    3.118,    3.692,    3.045,    3.742,    2.987,    3.248,    3.882,    2.446
  2076,    37,    3.191,    3.286,    3.952,    4.627,    4.628,    4.018,    4.012,    3.923,    4.627,    4.399,    3.936,    3.286,    3.587,    4.350,    3.611,    4.498,    3.725,    3.952,    4.628,    3.191
  2086,    37,    3.742,    3.959,    4.681,    5.284,    5.288,    4.713,    4.651,    4.681,    5.288,    5.177,    4.592,    3.742,    3.959,    4.982,    4.182,    5.205,    4.558,    4.765,    5.284,    3.979
  1996,    38,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    38,    0.175,    0.225,    0.283,    0.331,    0.352,    0.282,    0.310,    0.237,    0.331,    0.305,    0.328,    0.247,    0.304,    0.261,    0.250,    0.322,    0.225,    0.352,    0.283,    0.175
  2016,    38,    0.415,    0.567,    0.732,    0.817,    0.848,    0.730,    0.737,    0.613,    0.809,    0.788,    0.817,    0.584,    0.734,    0.636,    0.645,    0.814,    0.567,    0.848,    0.732,    0.415
  2026,    38,    0.740,    1.009,    1.320,    1.453,    1.467,    1.351,    1.307,    1.128,    1.467,    1.422,    1.448,    1.009,    1.320,    1.199,    1.205,    1.432,    1.048,    1.453,    1.340,    0.740
  2036,    38,    1.013,    1.332,    1.754,    1.925,    2.036,    1.861,    1.729,    1.553,    2.036,    1.925,    1.853,    1.332,    1.754,    1.734,    1.677,    1.875,    1.466,    1.847,    1.880,    1.013
  2046,    38,    1.376,    1.773,    2.259,    2.481,    2.697,    2.376,    2.255,    2.020,    2.697,    2.481,    2.261,    1.773,    2.251,    2.393,    2.156,    2.370,    1.941,    2.259,    2.470,    1.376
  2056,    38,    1.867,    2.303,    2.778,    3.189,    3.407,    2.897,    2.866,    2.595,    3.407,    3.111,    2.758,    2.303,    2.778,    3.092,    2.654,    3.003,    2.498,    2.754,    3.189,    1.867
  2066,    38,    2.492,    2.832,    3.373,    3.947,    4.090,    3.453,    3.521,    3.288,    4.090,    3.803,    3.373,    2.832,    3.300,    3.759,    3.178,    3.771,    3.151,    3.353,    3.947,    2.492
  2076,    38,    3.210,    3.301,    4.077,    4.717,    4.757,    4.085,    4.175,    4.064,    4.757,    4.530,    4.058,    3.301,    3.748,    4.420,    3.739,    4.547,    3.923,    4.077,    4.717,    3.210
  2086,    38,    3.750,    3.974,    4.813,    5.397,    5.407,    4.792,    4.813,    4.841,    5.407,    5.294,    4.720,    3.750,    4.108,    5.052,    4.289,    5.298,    4.768,    4.904,    5.397,    3.974
  1996,    39,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    39,    0.174,    0.218,    0.281,    0.325,    0.349,    0.279,    0.303,    0.224,    0.323,    0.303,    0.325,    0.250,    0.298,    0.256,    0.245,    0.317,    0.218,    0.349,    0.281,    0.174
  2016,    39,    0.415,    0.554,    0.723,    0.812,    0.840,    0.720,    0.723,    0.580,    0.789,    0.777,    0.812,    0.593,    0.724,    0.627,    0.630,    0.805,    0.554,    0.840,    0.730,    0.415
  2026,    39,    0.744,    1.023,    1.307,    1.440,    1.440,    1.335,    1.279,    1.078,    1.432,    1.404,    1.440,    1.023,    1.307,    1.186,    1.181,    1.427,    1.031,    1.440,    1.342,    0.744
  2036,    39,    1.022,    1.347,    1.747,    1.906,    1.998,    1.844,    1.694,    1.501,    1.998,    1.906,    1.844,    1.347,    1.747,    1.722,    1.652,    1.882,    1.459,    1.833,    1.892,    1.022
  2046,    39,    1.390,    1.784,    2.251,    2.493,    2.662,    2.366,    2.216,    1.976,    2.662,    2.470,    2.249,    1.784,    2.251,    2.378,    2.135,    2.395,    1.941,    2.252,    2.493,    1.390
  2056,    39,    1.887,    2.314,    2.789,    3.224,    3.383,    2.901,    2.831,    2.566,    3.383,    3.111,    2.748,    2.314,    2.789,    3.082,    2.636,    3.044,    2.501,    2.762,    3.224,    1.887
  2066,    39,    2.527,    2.852,    3.376,    3.991,    4.078,    3.469,    3.493,    3.275,    4.078,    3.816,    3.371,    2.852,    3.326,    3.761,    3.162,    3.828,    3.150,    3.376,    3.991,    2.527
  2076,    39,    3.265,    3.338,    4.113,    4.756,    4.772,    4.113,    4.150,    4.073,    4.756,    4.560,    4.067,    3.338,    3.790,    4.441,    3.737,    4.613,    3.926,    4.115,    4.772,    3.265
  2086,    39,    3.805,    4.054,    4.832,    5.418,    5.464,    4.832,    4.791,    4.873,    5.418,    5.350,    4.737,    3.805,    4.167,    5.091,    4.313,    5.366,    4.785,    4.961,    5.464,    4.054
  1996,    40,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    40,    0.205,    0.243,    0.305,    0.348,    0.362,    0.288,    0.337,    0.246,    0.348,    0.325,    0.320,    0.253,    0.331,    0.272,    0.282,    0.335,    0.243,    0.362,    0.305,    0.205
  2016,    40,    0.485,    0.613,    0.782,    0.855,    0.871,    0.761,    0.800,    0.629,    0.840,    0.835,    0.811,    0.613,    0.791,    0.664,    0.722,    0.855,    0.620,    0.871,    0.782,    0.485
  2026,    40,    0.854,    1.063,    1.416,    1.515,    1.520,    1.416,    1.423,    1.168,    1.520,    1.505,    1.466,    1.063,    1.406,    1.252,    1.329,    1.515,    1.150,    1.493,    1.421,    0.854
  2036,    40,    1.143,    1.415,    1.880,    2.040,    2.102,    1.968,    1.880,    1.610,    2.102,    2.040,    1.916,    1.415,    1.850,    1.807,    1.815,    1.990,    1.593,    1.893,    1.972,    1.143
  2046,    40,    1.515,    1.868,    2.368,    2.629,    2.792,    2.501,    2.451,    2.109,    2.792,    2.629,    2.367,    1.868,    2.368,    2.476,    2.293,    2.497,    2.081,    2.325,    2.571,    1.515
