      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2056,     7,    1.591,    2.118,    2.478,    2.910,    3.198,    2.694,    2.634,    2.281,    3.198,    2.857,    2.478,    2.118,    2.457,    2.844,    2.427,    2.706,    2.234,    2.465,    2.910,    1.591
  2066,     7,    2.173,    2.574,    3.042,    3.610,    3.842,    3.197,    3.248,    2.884,    3.842,    3.498,    3.042,    2.574,    2.914,    3.446,    2.899,    3.405,    2.826,    2.983,    3.610,    2.173
  2076,     7,    2.838,    2.967,    3.671,    4.324,    4.475,    3.755,    3.861,    3.568,    4.475,    4.157,    3.671,    2.967,    3.310,    4.037,    3.387,    4.118,    3.538,    3.625,    4.324,    2.838
  2086,     7,    3.343,    3.543,    4.381,    4.949,    5.089,    4.386,    4.451,    4.257,    5.089,    4.843,    4.263,    3.343,    3.627,    4.607,    3.858,    4.809,    4.324,    4.381,    4.949,    3.543
  1996,     8,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     8,    0.174,    0.220,    0.282,    0.327,    0.351,    0.280,    0.304,    0.227,    0.325,    0.304,    0.327,    0.250,    0.301,    0.258,    0.248,    0.319,    0.220,    0.351,    0.282,    0.174
  2016,     8,    0.415,    0.557,    0.724,    0.813,    0.845,    0.724,    0.723,    0.587,    0.793,    0.781,    0.813,    0.590,    0.730,    0.629,    0.635,    0.808,    0.557,    0.845,    0.731,    0.415
  2026,     8,    0.741,    1.017,    1.315,    1.440,    1.446,    1.340,    1.281,    1.088,    1.440,    1.411,    1.440,    1.017,    1.315,    1.188,    1.188,    1.428,    1.034,    1.446,    1.342,    0.741
  2036,     8,    1.018,    1.340,    1.754,    1.912,    2.006,    1.848,    1.697,    1.510,    2.006,    1.912,    1.842,    1.340,    1.754,    1.723,    1.658,    1.878,    1.459,    1.839,    1.889,    1.018
  2046,     8,    1.385,    1.780,    2.256,    2.487,    2.669,    2.367,    2.219,    1.983,    2.669,    2.472,    2.247,    1.780,    2.256,    2.378,    2.139,    2.384,    1.938,    2.256,    2.487,    1.385
